,model,comment,label,hypo_regex,predicted_label,model_reasoning
0,llama,"First, let's clarify: ""climate change science"" is an oxymoron. Much of the data claiming to ""prove"" AGW has been manipulated and/or discredited, models can't be duplicated, spotty or no peer reviews were conducted, samples too small to be conclusive were used, and many scientists are jumping the AGW ship. Even the IPPC has admitted it has cherry-picked data to get the results it wanted to showcase. Former Greenpeace leader Gerd Leipold has been videotaped in interviews admitting to global warming exaggerations lies, such as with the bogus polar bear reports and Arctic ice melting. Liberal media ignores record low temps and hysterically reports any record high temps to support the bogus science of AGW.

Secondly, my family does indeed bend over backwards to conserve energy, to recycle, to reuse, to do without, to be respectful of the environment. We CHOOSE to do this, and have done so for decades. One doesn't have to be a ""let's tax everyone to death"" global warmist to care about the Earth and to not be a filthy slob. 

Photos you see of the areas where liberal/Democrat events or protests were held, upon their conclusion, are usually disgraceful - litter everywhere, random vandalism, wanton disregard for cleanliness. OWS camps are a perfect example, as have been Obama pep rallies. Flip side are the photos taken following conservative/tea party protests and events. Every bit of trash is picked up, no vandalism, some places cleaner than when the event began. Speaks volumes about who actually cares a fig about keeping Earth clean. 

When Al Gore and DC corruptocrats and Hollywood hypocrites, all of whom have gargantuan ""carbon footprints,"" actually sacrifice and do what they want to impose on the American people will likely be a very cold day in Hades.",1,True,2,"The commenter is accusing various groups and individuals (Al Gore, DC politicians, Hollywood celebrities, and liberal/Democrat event attendees) of hypocrisy regarding their environmental stance. The accusations are based on perceived inconsistencies between their professed values (caring about the environment) and their actions (having large ""carbon footprints"", littering, vandalizing, etc.). The commenter is highlighting the contrast between the environmental policies and actions these groups advocate for and"
1,llama,"I don't think you are being honest with yourself. It's already been 2 years. We've had this time to make changes, reform, talk about the issues, check our candidates, and we chose moderates dems again who bare'y if at all talk about the issues and focus on Trump 24/7. Hell, after losing to Trump, Pelosi said she didn't think the party needed to move in a different direction. She recently named Hillary as a leader of dems. No mention of Bernie after the word he has put in since the election. How out of touch are these people? I think they're mostly just dishonest. 

Nobody here is saying to ignore Trumps corruption and not hold him accountable. I'm saying it's not good enough to deal with that while ignoring corruption on the left and those who haven't been held accountable for it. You want to be real and not naive and hypocritical? Acknowledge that it's detrimental to progress to wait to fix our house until we have fixed Trump, especially when those you support have used Trump as a distraction 1) to avoid blame 2) to get votes 3) to get away with ignoring other issues.  

You want to wait another 2 years?? The whole, we need to deal with Trump, we can fix our party later. Vote for us now, we can reform later. They've had 2 fucking years dude and they double down because they expected the blue wave to carry them as it usually does, and their sales pitch is We aren't Trump and We stand up to Trump. Put the damn kool-aid down.

I know there's an easier way of saying what I'm trying to say, but do you get it yet? Please get it. You gimp and work against yourself by supporting moderates just for the sake of going after Trump when they're less effective at taking on corruption than progressives, BECAUSE THEY ARE CORRUPT. Moderates who would prefer a republican in power than a progressive like Bernie. As soon as you understand that, you will get why it is bonkers to support them over a progressive candidate and to expect them to change their ways when they like things the way they are because they benefit from it. 

I really hope I've gotten through to you, because we don't have time to waste. Global warming/climate change is super fucking serious and we got Pelosi over here wanting to do more investigating. Yeah, we need to be taking massive action like yesterday, and on a global scale.",1,True,2,"The commenter is accusing Democratic Party leaders (specifically Pelosi and moderate Democrats) of being dishonest and hypocritical. They argue that these leaders are more focused on opposing Trump than addressing corruption within their own party, and that they use Trump as a distraction to avoid accountability for their own actions. The commenter sees a gap between the professed values of these leaders (opposing corruption, addressing climate change) and their actual actions (ignoring corruption,"
2,llama,"Ok, you made your point, but I have some misgivings about your words (which I've addressed at the end of this response).

I 100% agree with you that Trump is a fascist and is a Russian plant, that his administration has had involvement with Russia. That's undisputed at this point, and what he's done to the EPA is nothing short of obscene.

If Trump knew the pandemic was dangerous but did nothing, and committed politicized, he is beyond evil and a mass murderer (something I've already concluded months ago-- for fuck's sake if I was still Catholic I would have called him the literal Antichrist, and yet he's led astray so many supposed ""Christians"").

The whole thing about the right's rage over Obama is idiotic, and I agree. So many people still (falsely) believe that Obama is Muslim, or that he wasn't born in the US, or that he's a thousand other unsubstantiated things. Many Republicans hate and speak badly of Obama likely just because he's black, and I have family who somehow believe Obama is a Communist when there is zero evidence this is the case, and deny climate change, and say racial slurs.

&gt;For one you can look at the criminal records of all Republican leadership and you will find that they have committed crimes, especially sex crimes with underage children, at more then 4 times(4 times!) The rate that democrat leadership has. If you've never looked at this before you will be absolutely shocked: dozens and dozens and dozens of Republicans in power right now from mayors to governors to congressman have been convicted of raping and molesting and even trafficking children. This is factually not true about the Democrat side of the aisle.

I had no idea so many Republicans were literally child molesters, but I need to see some sources to back up this particular claim, because I can't just take your word without *reputable, unbiased, or minimally biased* sources. It's obvious nowadays that so many Catholic priests or clergy are child molesters, and it's truly sickening that the Vatican/the Church had these priests transferred to other parishes for decades, and not arrested for their crimes. Rather than admit the truth, they chose to hide pure evil under the rug. So much for preaching goodness and holiness. A lot of Hollywood directors, actors, and powerful people are also child molesters or rapists-- and many of them are liberal or lean liberal. But with Republican politicians I draw a blank-- I'm not well versed in the sheer number of pedophile Republicans you claim exist. The only connection I can make is Epstein, because he had connections with many politicians and powerful people on both sides of the political spectrum, including Trump, the Clintons, etc.

If you are correct and can prove your assertions, it's ironic that so many far-right loonies accuse Democrats of leading a pedophile ring (PizzaGate, QAnon, etc), when they themselves are the pedos. It's a classic case of projection.

Edit: I've checked on some sites and some people say that there are just as many Democrat child molesters as Republicans, and mention Jared Fogle and other liberals who also molested kids, but I have had trouble finding a definitive list of Democrats guilty of child abuse. Even if there are 4 times as many Republicans who are guilty of child molestation in comparison to Democrats, as you assert, this shouldn't minimize the guilt and culpability of Democrats who are also culpable of the same crimes, even if incidences of sexual crimes among Dems is comparatively less common or smaller.

Pedophilia exists on all sides of the political spectrum and (should) be considered a non-partisan issue. I think what makes Republicans worse off in this regard is their hypocrisy and excessive religiosity-- they preach moral family values and to follow Jesus but then do horrible things when no one's looking. So not only are Republican pedos disgusting, but they're also liars and hypocrites.

I don't know. I'm open to your thoughts. That list of Republicans is horrifying.

To compare, Bill Clinton had sex with Monica Lewinsky, sure, but at least she was of legal age, and (supposedly) it was consensual, yet many on the right who accused him of immorality themselves were having affairs with other women or men. Everyone remembers the scandal, but not the hypocrisy of some of the people who perpetrated the scandal in the first place, even if Clinton was guilty.",1,True,2,"The commenter accuses Republicans of hypocrisy, specifically in regards to their moral stance on family values and religiosity, while allegedly committing sex crimes, including child molestation, at a higher rate than Democrats. The commenter highlights the inconsistency between the Republicans' professed values and their actions, labeling them as ""liars and hypocrites"". This accusation is focused on the political sphere, as it involves political leaders and their actions, and is therefore classified as"
0,gpt35,"I don't think you are being honest with yourself. It's already been 2 years. We've had this time to make changes, reform, talk about the issues, check our candidates, and we chose moderates dems again who bare'y if at all talk about the issues and focus on Trump 24/7. Hell, after losing to Trump, Pelosi said she didn't think the party needed to move in a different direction. She recently named Hillary as a leader of dems. No mention of Bernie after the word he has put in since the election. How out of touch are these people? I think they're mostly just dishonest. 

Nobody here is saying to ignore Trumps corruption and not hold him accountable. I'm saying it's not good enough to deal with that while ignoring corruption on the left and those who haven't been held accountable for it. You want to be real and not naive and hypocritical? Acknowledge that it's detrimental to progress to wait to fix our house until we have fixed Trump, especially when those you support have used Trump as a distraction 1) to avoid blame 2) to get votes 3) to get away with ignoring other issues.  

You want to wait another 2 years?? The whole, we need to deal with Trump, we can fix our party later. Vote for us now, we can reform later. They've had 2 fucking years dude and they double down because they expected the blue wave to carry them as it usually does, and their sales pitch is We aren't Trump and We stand up to Trump. Put the damn kool-aid down.

I know there's an easier way of saying what I'm trying to say, but do you get it yet? Please get it. You gimp and work against yourself by supporting moderates just for the sake of going after Trump when they're less effective at taking on corruption than progressives, BECAUSE THEY ARE CORRUPT. Moderates who would prefer a republican in power than a progressive like Bernie. As soon as you understand that, you will get why it is bonkers to support them over a progressive candidate and to expect them to change their ways when they like things the way they are because they benefit from it. 

I really hope I've gotten through to you, because we don't have time to waste. Global warming/climate change is super fucking serious and we got Pelosi over here wanting to do more investigating. Yeah, we need to be taking massive action like yesterday, and on a global scale.",1,True,2,"The commenter is accusing certain political figures, particularly moderate Democrats, of being hypocritical in their actions and statements. The accusation revolves around the perceived gap between the professed values or goals of the political figures (addressing corruption, focusing on important issues like climate change) and their actual actions (focusing on Trump, not addressing corruption within their own party). The hypocrisy accusation is focused on political figures and their perceived inconsistency between their professed beliefs and their political actions."
0,gpt4,"First, let's clarify: ""climate change science"" is an oxymoron. Much of the data claiming to ""prove"" AGW has been manipulated and/or discredited, models can't be duplicated, spotty or no peer reviews were conducted, samples too small to be conclusive were used, and many scientists are jumping the AGW ship. Even the IPPC has admitted it has cherry-picked data to get the results it wanted to showcase. Former Greenpeace leader Gerd Leipold has been videotaped in interviews admitting to global warming exaggerations lies, such as with the bogus polar bear reports and Arctic ice melting. Liberal media ignores record low temps and hysterically reports any record high temps to support the bogus science of AGW.

Secondly, my family does indeed bend over backwards to conserve energy, to recycle, to reuse, to do without, to be respectful of the environment. We CHOOSE to do this, and have done so for decades. One doesn't have to be a ""let's tax everyone to death"" global warmist to care about the Earth and to not be a filthy slob. 

Photos you see of the areas where liberal/Democrat events or protests were held, upon their conclusion, are usually disgraceful - litter everywhere, random vandalism, wanton disregard for cleanliness. OWS camps are a perfect example, as have been Obama pep rallies. Flip side are the photos taken following conservative/tea party protests and events. Every bit of trash is picked up, no vandalism, some places cleaner than when the event began. Speaks volumes about who actually cares a fig about keeping Earth clean. 

When Al Gore and DC corruptocrats and Hollywood hypocrites, all of whom have gargantuan ""carbon footprints,"" actually sacrifice and do what they want to impose on the American people will likely be a very cold day in Hades.",1,True,2,"The commenter is accusing various political figures and groups (Al Gore, DC politicians, Hollywood celebrities, liberal/Democrat events) of hypocrisy. The accusation is based on the perceived inconsistency between their professed beliefs (advocating for climate action and environmental care) and their actions (having large carbon footprints, leaving litter after events). The focus is on political and public actions rather than personal moral behavior, making this a case of political hypocrisy."
1,gpt4,"It's James Shaw, the biggest hypocrite out there when it comes to travel. Don't expect a realistic response.

https://www.google.com/amp/s/www.newshub.co.nz/home/politics/2019/02/climate-change-minister-james-shaw-spent-most-on-international-travel.amp.html

https://www.nzherald.co.nz/nz/mps-travel-expenses-released/CFWSIEWDM7QS2II475E3YDQ7XY/",1,True,2,"The commenter is accusing James Shaw, a political figure, of being a hypocrite regarding travel. The accusation is based on the inconsistency between his role as Climate Change Minister (implying a commitment to reducing travel-related emissions) and his high expenditure on international travel. This highlights a gap between his professed political values and his actions."
2,gpt4,"Tickets to the event: 30k 

Table at the event: 250, 000K

Brother Vellies dress: 1000 - ? ( they neglected to share the price but the shoes go for 500 to 1000)

Unmasked and partying after her boss told the rest of us to wear masks inside and not fly. 

Its so unbelievably confusing and hypocritical that Im starting to believe she might be an Andy Kaufman level troll. I wonder if this party had an impact on climate  change ? Its nice to see shes okay alot of us were wondering where she was when the people of Cuba were being smashed trying to protest for their freedom. She's so brave",1,True,2,"The commenter is accusing a political figure of hypocrisy by highlighting the inconsistency between the figure's actions (attending an expensive event unmasked and partying) and the policies or statements made by their boss (telling others to wear masks and not fly). The comment also touches on the figure's absence during significant political events (Cuban protests), further emphasizing the perceived gap between their professed values and actions. The focus is on political actions and statements, making this a political hypocrisy accusation."
3,gpt4,"Exactly.  I remember when his stupid movie came out, and many of my friends believed it.  I pointed out his hypocrisy, and all the statistics that negate his stupid theory.  Some of them I redpilled, but some were just die-hard libs who wouldn't listen to reason.  They could not conceive that this whole climate change movement is simply a means to control businesses.  ""Why would he make something like this up?!"" they would ask.  Um, money?  Power?  Fame?  Nobel Prize?  And he knows his base won't hold him accountable.  Sickening.",1,True,2,"The commenter is accusing a public figure (likely a politician or activist) of hypocrisy related to the climate change movement. The accusation is that the individual is promoting climate change action for personal gain (money, power, fame, Nobel Prize) rather than genuine concern for the environment. This suggests a gap between the professed political beliefs (climate change action) and the alleged true motives (personal gain). The focus is on the political aspect of the climate change movement and the individual's role within it."
4,gpt4,"First, reducing ""luxury"" by a few dozen percent from the top 2% of the world population  isn't going to to do jack shit and if you think it will you haven't looked at the problem in any real depth. 

Second, the actual protesters haven't done any of what is remotely necessary even if you believe that a reduction in luxury will somehow change the climate trajectory. Any single protester that eats mass-produced food or has a smartphone above $100 is a hypocrite. Which they 99% are.

Meaning, third, there is no way to change the lifestyle without forcing someone to do it. Are you going to be the one doing the forcing? Well, guess what -- you try forcing someone to do anything they don't want and you'll get a 12-gauge up your ass. 

Are these students going to go to war to enforce the lifestyle changes they can't be bothered to implement? No, no they are not.",1,True,2,"The commenter is accusing climate protesters of being hypocrites for not making significant personal lifestyle changes (e.g., eating mass-produced food, owning expensive smartphones) while advocating for reductions in luxury to combat climate change. The accusation is framed within the context of political activism and the broader societal changes they are advocating for, making it a case of political hypocrisy. The inconsistency is between the protesters' political goals (reducing luxury to combat climate change) and their personal actions (not making significant lifestyle changes)."
5,gpt4,"&gt; Hypocrisy may be greater though, as is vapid self entitlement, such as for example, claiming they are ""more empathic"" while behaving like insane selfish parasites - while they pat their own back and paint themselves as better then those other generations.

You might be right. But the baby boomers in political power sure demonstrate these traits as well.

&gt; The climate change issue is the same, actually. Sure the ""younger generations"" protest more about it, but are they actually doing anything about it? Protesting is nice, its like a party really. And you have someone else to blame - again, for everything, including the fault of why those protesting parties dont work.

I agree, we aren't really doing anything that's helping. But we are trying despite general exhaustion with the state of the world (and draconian restrictions put in place by those in power. In Australia, there are laws that restrict protests).

Are baby boomers doing anything? Did I miss something?

&gt; I wonder how much of the environment feels any of you would have when actual restrictive measures would be taken and so reductions of life style. Besides, are we talking about western relatively rich and well positioned younger generations or the whole world? 

Lots of younger people, including myself, are adopting a life of minimalism and would prefer say, living in a repurposed shipping container over owning a mansion.

&gt; If we are talking about US - well, younger generation there just had the rare opportunity to elect a truly progressive and just candidate which would surely beat Trump in next elections and they have totally failed to even fucking vote. But complaining on the internet about it? Mmm-mm. From the fucking couch. 

I'm in Australia, but am following the US situation. I am appalled that Bernie is not SMASHING the polls. I blame the established Deep State for keeping someone like Biden in the running, in conjunction with the mainstream media's clearly biased coverage. Are you also forgetting the fact that older generations get to vote too?

Bless Eric and the rest of the pirate radio movement for trying. Oh yeah - that seems to me like a damn good effort on the side of Millenials in answering your previous question (see Red Scare podcast, FriendlyJordies (Australian political commentator), and more).

&gt; On the whole though, i dont think you can make any relevant judgement or evaluations of personality traits and qualities based on such generalizations. The real differences are in individuals, and always have been.

Sure - whatever you want to believe. I'm just trying to push this conversation forward without doing what you're doing: ""Yeah you guys aren't doing anything either, so shut up and just let the world continue to go to shit"". Bad argument imo with no evidence, anecdotal or reliable.

This is just my perspective from the front lines as a frustrated but hopeful Millenial. I do think you are right here to a large extent (being that things are largely individual). But younger generations are learning at an exponential rate how to be moral and contribute to society (thanks to technology and people like Eric, Joe Rogan, etc. [And please don't argue that Rogan is detrimental to society as some kind of alt. right figure - man's an international treasure]). I consider myself to be one of these Millenials.

If I was to bet on a horse to save us from this whole fucked up situation, it would be the Millenials or Gen Z. That's ignoring the fact that older generations will fade out earlier.",1,True,2,"The comment includes multiple references to perceived inconsistencies between professed beliefs and actions, particularly in the context of political and social activism. The commenter discusses the younger generation's protests about climate change and their failure to vote for a progressive candidate, which is framed as a political hypocrisy. The focus is on the gap between the younger generation's political activism and their actual political actions (or lack thereof)."
